participant_code,consent,generation,session_code,session_label,treatment_appeal,example_color,chain_code,selected_feedback_index,selected_feedback_message,selected_feedback_grid_state,selected_feedback_author,selected_feedback_score,feedback_message,feedback_score,feedback_grid_state,birthyear,gender,period,revenue,cost,points,plants_treated,grid_state,period_in_chain,num_plants_fed,selected_feedback_grid_state_flatten,grid_state_flatten,feedback_grid_state_flatten,net_payoff,generation_c
68oftjfe,1,1,i3oq5e6t,p_ha2g1,high_appeal,blue,0m69p768o_i3oq5e6tH,NA,NA,NA,NA,NA,"The field yields a higher output when you try to match the colour of the flower to the ingredients that would make that colour. If the colour is the same as a single ingredient, doubling that ingredient will make a higher score. Red seems to be best as a single.",781,"[[{""blue"":2,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",1992,Male,5,803,108,695,9,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":2},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",5,9,NA,100-101-110-002-011-010-011-101-011,200-101-110-001-011-010-011-101-011,684,0
68oftjfe,1,1,i3oq5e6t,p_ha2g1,high_appeal,blue,0m69p768o_i3oq5e6tH,NA,NA,NA,NA,NA,"The field yields a higher output when you try to match the colour of the flower to the ingredients that would make that colour. If the colour is the same as a single ingredient, doubling that ingredient will make a higher score. Red seems to be best as a single.",781,"[[{""blue"":2,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",1992,Male,6,881,100,781,9,"[[{""blue"":2,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",6,9,NA,200-101-110-001-011-010-011-101-011,200-101-110-001-011-010-011-101-011,692,0
0m65fczo,1,1,i3oq5e6t,p_ha2g1,high_appeal,yellow,0m69p768o_i3oq5e6tH,NA,NA,NA,NA,NA,The field yields a higher output when you match the colours to the colours of the flowers,522,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":0},{""blue"":2,""yellow"":0,""red"":0}],[{""blue"":0,""yellow"":2,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":0},{""blue"":0,""yellow"":1,""red"":2}]]",2000,Female,1,747,98,649,9,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",1,9,NA,100-101-110-001-011-010-011-101-011,100-100-200-021-011-010-011-100-012,694,0
0m65fczo,1,1,i3oq5e6t,p_ha2g1,high_appeal,yellow,0m69p768o_i3oq5e6tH,NA,NA,NA,NA,NA,The field yields a higher output when you match the colours to the colours of the flowers,522,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":0},{""blue"":2,""yellow"":0,""red"":0}],[{""blue"":0,""yellow"":2,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":0},{""blue"":0,""yellow"":1,""red"":2}]]",2000,Female,2,650,104,546,9,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":2,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",2,9,NA,100-101-110-001-011-020-011-101-011,100-100-200-021-011-010-011-100-012,688,0
0m65fczo,1,1,i3oq5e6t,p_ha2g1,high_appeal,yellow,0m69p768o_i3oq5e6tH,NA,NA,NA,NA,NA,The field yields a higher output when you match the colours to the colours of the flowers,522,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":0},{""blue"":2,""yellow"":0,""red"":0}],[{""blue"":0,""yellow"":2,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":0},{""blue"":0,""yellow"":1,""red"":2}]]",2000,Female,3,610,80,530,6,"[[{""blue"":0,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":0},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":0,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",3,6,NA,000-101-110-000-011-000-011-101-011,100-100-200-021-011-010-011-100-012,472,0
0m65fczo,1,1,i3oq5e6t,p_ha2g1,high_appeal,yellow,0m69p768o_i3oq5e6tH,NA,NA,NA,NA,NA,The field yields a higher output when you match the colours to the colours of the flowers,522,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":0},{""blue"":2,""yellow"":0,""red"":0}],[{""blue"":0,""yellow"":2,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":0},{""blue"":0,""yellow"":1,""red"":2}]]",2000,Female,4,586,54,532,6,"[[{""blue"":2,""yellow"":0,""red"":0},{""blue"":0,""yellow"":0,""red"":0},{""blue"":0,""yellow"":0,""red"":0}],[{""blue"":0,""yellow"":0,""red"":2},{""blue"":0,""yellow"":1,""red"":0},{""blue"":0,""yellow"":2,""red"":0}],[{""blue"":0,""yellow"":1,""red"":0},{""blue"":0,""yellow"":0,""red"":0},{""blue"":0,""yellow"":1,""red"":0}]]",4,6,NA,200-000-000-002-010-020-010-000-010,100-100-200-021-011-010-011-100-012,498,0
0m65fczo,1,1,i3oq5e6t,p_ha2g1,high_appeal,yellow,0m69p768o_i3oq5e6tH,NA,NA,NA,NA,NA,The field yields a higher output when you match the colours to the colours of the flowers,522,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":0},{""blue"":2,""yellow"":0,""red"":0}],[{""blue"":0,""yellow"":2,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":0},{""blue"":0,""yellow"":1,""red"":2}]]",2000,Female,5,717,68,649,9,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":2,""yellow"":0,""red"":0},{""blue"":2,""yellow"":0,""red"":0}],[{""blue"":0,""yellow"":2,""red"":0},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":1},{""blue"":2,""yellow"":0,""red"":0},{""blue"":0,""yellow"":0,""red"":1}]]",5,9,NA,100-200-200-020-011-010-001-200-001,100-100-200-021-011-010-011-100-012,724,0
0m65fczo,1,1,i3oq5e6t,p_ha2g1,high_appeal,yellow,0m69p768o_i3oq5e6tH,NA,NA,NA,NA,NA,The field yields a higher output when you match the colours to the colours of the flowers,522,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":0},{""blue"":2,""yellow"":0,""red"":0}],[{""blue"":0,""yellow"":2,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":0},{""blue"":0,""yellow"":1,""red"":2}]]",2000,Female,6,618,96,522,9,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":0},{""blue"":2,""yellow"":0,""red"":0}],[{""blue"":0,""yellow"":2,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":0},{""blue"":0,""yellow"":1,""red"":2}]]",6,9,NA,100-100-200-021-011-010-011-100-012,100-100-200-021-011-010-011-100-012,696,0
9gia3487,1,1,i3oq5e6t,p_ha2g1,high_appeal,red,5l89gi5b0_i3oq5e6tH,NA,NA,NA,NA,NA,The field yields a higher output when i even out all the nutrient number,791,"[[{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":1,""red"":0},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":0},{""blue"":0,""yellow"":0,""red"":2}]]",1999,Female,1,728,112,616,9,"[[{""blue"":0,""yellow"":0,""red"":1},{""blue"":1,""yellow"":0,""red"":0},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":1,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":2,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",1,9,NA,001-100-010-111-011-020-011-011-011,011-010-110-011-110-010-011-100-002,680,0
9gia3487,1,1,i3oq5e6t,p_ha2g1,high_appeal,red,5l89gi5b0_i3oq5e6tH,NA,NA,NA,NA,NA,The field yields a higher output when i even out all the nutrient number,791,"[[{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":1,""red"":0},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":0},{""blue"":0,""yellow"":0,""red"":2}]]",1999,Female,2,909,78,831,9,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":0,""yellow"":1,""red"":0},{""blue"":0,""yellow"":0,""red"":1}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0}],[{""blue"":1,""yellow"":1,""red"":0},{""blue"":1,""yellow"":1,""red"":0},{""blue"":0,""yellow"":0,""red"":2}]]",2,9,NA,100-010-001-011-010-100-110-110-002,011-010-110-011-110-010-011-100-002,714,0
9gia3487,1,1,i3oq5e6t,p_ha2g1,high_appeal,red,5l89gi5b0_i3oq5e6tH,NA,NA,NA,NA,NA,The field yields a higher output when i even out all the nutrient number,791,"[[{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":1,""red"":0},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":0},{""blue"":0,""yellow"":0,""red"":2}]]",1999,Female,3,786,108,678,9,"[[{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":0,""red"":2}],[{""blue"":1,""yellow"":1,""red"":0},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":1,""red"":0},{""blue"":0,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":1}]]",3,9,NA,101-011-002-110-011-001-110-010-101,011-010-110-011-110-010-011-100-002,684,0
9gia3487,1,1,i3oq5e6t,p_ha2g1,high_appeal,red,5l89gi5b0_i3oq5e6tH,NA,NA,NA,NA,NA,The field yields a higher output when i even out all the nutrient number,791,"[[{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":1,""red"":0},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":0},{""blue"":0,""yellow"":0,""red"":2}]]",1999,Female,4,631,100,531,9,"[[{""blue"":1,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0},{""blue"":0,""yellow"":2,""red"":0}],[{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":0},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":2,""yellow"":0,""red"":0},{""blue"":0,""yellow"":0,""red"":2},{""blue"":0,""yellow"":0,""red"":3}]]",4,9,NA,110-100-020-101-010-010-200-002-003,011-010-110-011-110-010-011-100-002,692,0
