participant_code,chain_code,generation,treatment_appeal,feedback_message,mix_and_match,mismatch,color_based,shape_based,spread,mix_nutrients,pure_nutrients,spatial,useall,time,blue_prioritize,yellow_prioritize,red_prioritize,less_per_plant,more_per_plant,variation,other,noinfo
peiv08tt,peio9rhh8_7p2nvof4H,1,high_appeal,The field yields a higher output when you mix the right colours to get the colour displayed,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hh8deniv,peio9rhh8_7p2nvof4H,1,high_appeal,The field yields a higher output when you make the colour through mixing theory. So orange = 1 red point and 1 yellow point. Blue = 1 blue. Green = 1 blue point and 1 yellow point. Red = 1 red point. Yellow = 1 yellow point.,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
o9rrexqd,peio9rhh8_7p2nvof4H,1,high_appeal,The field yields a higher output when you spread the nutrients out between all the flowers. A higher number of nutrients for each flower doesn't give a larger score and the colour of the nutrients doesn't seem to make much difference.,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
suxi51sn,suxnj0hys_7p2nvof4H,1,high_appeal,The field yields a higher output when you focus on the blue color,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
nj0yv13o,suxnj0hys_7p2nvof4H,1,high_appeal,The field yields a higher output when you match the colour of the ingredients to the colour of the flower; flowers top seem to have more value in the top left than in the bottom right.,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
hysgxvdz,suxnj0hys_7p2nvof4H,1,high_appeal,"The field yields a higher output when you select 1 for each option of the nutrients provided, randomly distributing the selections. Always choose at least 1 from each item with the different shapes.",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
k0ufm8tp,0m69p768o_i3oq5e6tH,2,high_appeal,The field yields a higher output when you add mixed colours to create a new colour.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
iry947j6,0m69p768o_i3oq5e6tH,2,high_appeal,The field yields a higher output when you mix the colour of the flower to the ingredients that will make up the colour of the flower.,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
jnlgio8j,0m69p768o_i3oq5e6tH,2,high_appeal,"The field yields a higher output when you give the plants the nutrients with their respective colours, that is, a red plant gets red nutrients. For the mixtures, use the basic colour mixing knowlegde.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3mj1z8e2,5l89gi5b0_i3oq5e6tH,2,high_appeal,"The field yields a higher output when you mix the colours of the nutrients accordingly in order to match the colour of the plant. For example, mix red and blue nutrients in order to feed a purple plant. Ensure you use all 16 nutrients. For a colour that directly matches the colour of a nutrient (e.g. the blue plant) you only need to use one nutrient but feel free to use two to ensure all 16 nutrients are used to maximise your reward.",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
qj5mtjzj,5l89gi5b0_i3oq5e6tH,2,high_appeal,"The field yields a higher output when the colours mixed, equal the colour of the plant. For example. 1 blue for a blue plant, or 1 blue and 1 yellow for a green plant.",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ntk8worf,5l89gi5b0_i3oq5e6tH,2,high_appeal,"The field yields a higher output when you give a double blue potion to the blue, then for red give it a single red potion, for orange a single combination of yellow and red, for purple a single combination of red and blue, for green a single combination of blue and yellow, and for yellow a single yellow potion.",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
pi8ydb7i,i4w5wfiqi_i3oq5e6tH,2,high_appeal,The field yields a higher output when you mix the primary colors to get the secondary if you have an idea about colors you will have an edge.,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
luf0g53m,i4w5wfiqi_i3oq5e6tH,2,high_appeal,"The field yields a higher output when red is used for all, especially the red crop. Red and yellow together makes a higher output on the orange crop.",0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
dmdg9td4,i4w5wfiqi_i3oq5e6tH,2,high_appeal,"The field yields a higher output when you prioritize the red nutrient. Also, make a deliberate attempt to double some of your portions. Finally, avoid over-distributing your moves, the more concentrated they are, the higher your points.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
aa0u1ewq,psiqfoqqa_i3oq5e6tH,2,high_appeal,"The field yields a higher output when you mix the colours that equal the centre of that flower.  For example the green flower will be blue + yellow.  I found that when I used just red for the red flower I only used 15 nutrients, this gave me my lowest score of the game, so I assume that if you don't use all 16 it affects your score. This is why I used blue and yellow on the red flower, this layout me my overall highest score of the game of 900+.",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
lm7pb6l2,psiqfoqqa_i3oq5e6tH,2,high_appeal,The field yields a higher output when you give 2 of the same colour when it matches the colour of the plant. Then in other scenarios try and do 1 of each of the 2 colours that make the colour of the plant (i.e. blue + yellow = green),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
js35uz3e,psiqfoqqa_i3oq5e6tH,2,high_appeal,"The field yields a higher output when you focus all the inputting something for all the flowers. Additionally, take a stronger focus on the colours that are a mix of two colours for example, Green, Purple. For the single colours blue, red and yellow, focus on adding a solution to the same colour as the flower.",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9ll1wf1a,rlzyoiwkj_i3oq5e6tH,2,high_appeal,The field yields a higher output when you select the matching colour nutrient for flowers that are primary colours and the nutrient that does NOT make up the flower colour for the flowers that are not primary colours,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7ljswey0,rlzyoiwkj_i3oq5e6tH,2,high_appeal,The field yields a higher output when you mix the nutrients that make the flowers colour for example (red and yellow make orange). A single colour such as blue having just one.,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
kul6fh4h,rlzyoiwkj_i3oq5e6tH,2,high_appeal,"The field yields a higher output when the color of the plant matches the colr of the nutrient i.e. blue plant to blue nutrient,. yellow plant to yellow nutreitn, and red plant to red nutrient. Also, you can mix the color of the nutrient to match the color of the flowers too i.e. mix 1 blue and 1 red nutrient for the purple plant, 1 blue and 2 yellow for the green plant, and 1 yellow and 1 red for the yellowish-reddish plant.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
w7odxytj,twv4tavfw_i3oq5e6tH,2,high_appeal,"The field yields a higher output when you adherre tocolour theory. I prioritised the single colours over the dual colours, but it is difficult to max out the field. Try and keep to colour theory to keep yield high. I tried experimenting away from this and it never seemed to yield much benefit.",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8t78pjqg,twv4tavfw_i3oq5e6tH,2,high_appeal,"The field yields a higher output when you move quickly and submit quickly, don't spend too much time pondering your answers. I got a higher score when I acted randomly, so that is quite puzzling and I don't reccomend. It seems to like when you add blue, so I added blue to every plant, although I really am not certain if this was the right tactic. There may be an element of colour theory involved with this but I felt under time pressure and wasn't familiar enough with colour theory to implement this in my practice.",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
l45m4kyz,twv4tavfw_i3oq5e6tH,2,high_appeal,"The field yields a higher output when you are quick with your selection. I feel that the higher yield comes from selecting colours that equal the plant colour. For example, for a green plant - selecting one blue and one yellow. If the plant is a colour of the nutrient already, I would yield higher by selecting 1 of the same colour. I would not use more than this.",1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
ixdmae84,vrv867wu7_i3oq5e6tH,2,high_appeal,The field yields a higher output when I use less nutrients,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ej0x53tr,vrv867wu7_i3oq5e6tH,2,high_appeal,The field yields a higher output when you use fewer bottles of the solution.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
xa1k1vix,vrv867wu7_i3oq5e6tH,2,high_appeal,The field yields a higher output when there is a combination of more red and yellow.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
7mj0bkvd,w0h9sbawo_i3oq5e6tH,2,high_appeal,"The field yields a higher output when you dont use yellow on orange middle, dont use all potions in 1 round to see if it makes a difference,and take notice of score my highest was around 350 with first bit of advice, good luck",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
qbqtubdw,w0h9sbawo_i3oq5e6tH,2,high_appeal,The field yields a higher output when the opposite colours are selected and amounts are messed around with.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
xvf96kcy,w0h9sbawo_i3oq5e6tH,2,high_appeal,The field yields a higher output when not thinking about colour theory - eg don't try and use the nutrients to make the colours of the shapes.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wbqmtcs5,w5wnt9d98_i3oq5e6tH,2,high_appeal,"The field yields a higher output when you use the colour that is NOT associated with the colour of the plant. For example, to get green you mix blue and yellow - so you should pick red for this one. For blue, just pick yellow and red. And so on and so forth.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ujc9pqik,w5wnt9d98_i3oq5e6tH,2,high_appeal,"The field yields a higher output when you give each row the same colour and yield. For example, first row got 1 blue each, second row got 1 yellow each. The last row got nothing.",0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
pupqq5su,w5wnt9d98_i3oq5e6tH,2,high_appeal,The field yields a higher output when you give the colour a nutrient that is a completely different colour. Just 1. Then use just yellow nutrients leftover for the yellow plant,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
frauwoy9,z7ply7bzt_i3oq5e6tH,2,high_appeal,"The field yields a higher output when you match the colours. Some of them require mixing e.g. blue + yellow = green. I would suggest using 2 of the same colour for one of the block colours like blue, red or yellow in order to use all 16 choices.",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
9qpek7ky,z7ply7bzt_i3oq5e6tH,2,high_appeal,"The field yields a higher output when you match the colors to the plants. Red = Red; green = blue + yellow, etc. Leaving plants without nutirents reduces the score.",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0n57k78t,z7ply7bzt_i3oq5e6tH,2,high_appeal,"The field yields a higher output when you imagine the nutrients as paint, mix them together to create the designated colour eg Green = 1 blue + 1 yellow. However, if the colour of the shape matches the colour of one of the nutrients, add more nutrients to make it stronger eg blue circle = 2/3 blue",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
f0zv6jpy,3gaxclyyh_7p2nvof4H,2,high_appeal,"The field yields a higher output when you focus on matching the colours, I found you got a higher score when prioritising the colours that do not require mixing to match (e.g. giving a red plant two drops of red instead of focusing on giving orange both red and yellow) however as there is also an element if randomness I guessed a little and made random decisions in places which both increased and decreased my score at times",0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
bch8o3iv,3gaxclyyh_7p2nvof4H,2,high_appeal,"The field yields a higher output when elements are assigned to properly correspond to the colour of the plant.  For example for a green plant (blue and yellow elements should be chosen) and for a yellow plant (only a yellow element should be chosen). It is advisable to use all 16 elements given, so for the extra element left over, assign it, at random to one of the yellow, blue or red plants.",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
tnk6g85w,3gaxclyyh_7p2nvof4H,2,high_appeal,"The field yields a higher output when you mix/select both the primary colours/nutrients (i.e red + blue = purple) to match the correlating colour of the inital big/main plant (which in this case would be purple). When the colour of the plant is a primary colour e.g yellow, i would choose just one nutrient, the yellow one.",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cwdukell,5171koccj_7p2nvof4H,2,high_appeal,"The field yields a higher output when you match the nutrient colours to create the colour of the plant (e.g., Blue and yellow to make green, blue and red to make purple, and yellow and red to make orange)",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4yrhwvij,5171koccj_7p2nvof4H,2,high_appeal,The field yields a higher output when you use the blue nutrients,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
c5vrvl5a,5171koccj_7p2nvof4H,2,high_appeal,The field yields a higher output when you mix colours. (red + blue = purple). Do not repeat patterns. (If the shape is orange first use 1 yellow + 1 red; the second orange shape use 2 yellow + 1 red; third use 1 yellow + 2 red). You can leave the primary colours blank in order to allow you more colour patterns.,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
iztrh4bm,9xzdo10lx_7p2nvof4H,2,high_appeal,"The field yields a higher output when the colour nutrients that are selected correspond to the colour plant e.g. for an orange plant, I selected one red and one yellow (= orange). However, this seemed to yield higher scores at the beginning of the experiment and decreased as the rounds progressed. For the final 2 rounds, I selected the nutrients completely randomly (but different to previous selections) and yielded the highest results.",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
v0kcp3dg,9xzdo10lx_7p2nvof4H,2,high_appeal,"The field yields a higher output when you select the nutrient colors needed to make the plant colour. For example, if the plant colour is purple, then select nutrients blue and red.",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2ucke1qi,9xzdo10lx_7p2nvof4H,2,high_appeal,"The field yields a higher output when you spread out the nutrients across all nine squares as evenly as possible, while still using the maximum of 16 nutrients in each round.  I experimented with using less than the maximum 16 nutrients permitted or by concentrating the nutrients on a handful of squares and this resulted in lower outputs. Spread the nutrients out as evenly as possible while still using all 16 nutrients each round.  I was unable to discern any correlation between the colours used and the results.",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
