participant_code,consent,generation,session_code,session_label,treatment_appeal,example_color,chain_code,selected_feedback_index,selected_feedback_message,selected_feedback_grid_state,selected_feedback_author,feedback_message,feedback_grid_state,birthyear,gender,period,revenue,cost,points,plants_treated,grid_state,period_in_chain,num_plants_fed,selected_feedback_grid_state_flatten,grid_state_flatten,feedback_grid_state_flatten
w1swb17t,1,1,a03k1zfq,ha1g1,high_appeal,blue,4itw1slzj_a03k1zfqH,NA,NA,NA,NA,The field yields a higher output when you use diffrent colours for each flower.,"[[{""blue"":0,""yellow"":2,""red"":0},{""blue"":2,""yellow"":0,""red"":0},{""blue"":0,""yellow"":0,""red"":1}],[{""blue"":0,""yellow"":0,""red"":2},{""blue"":0,""yellow"":2,""red"":0},{""blue"":1,""yellow"":0,""red"":0}],[{""blue"":2,""yellow"":0,""red"":0},{""blue"":0,""yellow"":0,""red"":2},{""blue"":0,""yellow"":2,""red"":0}]]",2002,Female,5,618,92,526,9,"[[{""blue"":2,""yellow"":0,""red"":0},{""blue"":2,""yellow"":0,""red"":0},{""blue"":2,""yellow"":0,""red"":0}],[{""blue"":0,""yellow"":2,""red"":0},{""blue"":0,""yellow"":2,""red"":0},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":2},{""blue"":0,""yellow"":0,""red"":2},{""blue"":0,""yellow"":0,""red"":1}]]",5,9,NA,200-200-200-020-020-010-002-002-001,020-200-001-002-020-100-200-002-020
w1swb17t,1,1,a03k1zfq,ha1g1,high_appeal,blue,4itw1slzj_a03k1zfqH,NA,NA,NA,NA,The field yields a higher output when you use diffrent colours for each flower.,"[[{""blue"":0,""yellow"":2,""red"":0},{""blue"":2,""yellow"":0,""red"":0},{""blue"":0,""yellow"":0,""red"":1}],[{""blue"":0,""yellow"":0,""red"":2},{""blue"":0,""yellow"":2,""red"":0},{""blue"":1,""yellow"":0,""red"":0}],[{""blue"":2,""yellow"":0,""red"":0},{""blue"":0,""yellow"":0,""red"":2},{""blue"":0,""yellow"":2,""red"":0}]]",2002,Female,6,935,96,839,9,"[[{""blue"":0,""yellow"":2,""red"":0},{""blue"":2,""yellow"":0,""red"":0},{""blue"":0,""yellow"":0,""red"":1}],[{""blue"":0,""yellow"":0,""red"":2},{""blue"":0,""yellow"":2,""red"":0},{""blue"":1,""yellow"":0,""red"":0}],[{""blue"":2,""yellow"":0,""red"":0},{""blue"":0,""yellow"":0,""red"":2},{""blue"":0,""yellow"":2,""red"":0}]]",6,9,NA,020-200-001-002-020-100-200-002-020,020-200-001-002-020-100-200-002-020
lzj3mv8k,1,1,a03k1zfq,ha1g1,high_appeal,red,4itw1slzj_a03k1zfqH,NA,NA,NA,NA,The field yields a higher output when it is fed using the primary colours that create the colour of the field.,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",2001,Male,1,880,98,782,9,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",1,9,NA,100-101-110-001-011-010-011-101-011,100-101-110-001-011-010-011-101-011
lzj3mv8k,1,1,a03k1zfq,ha1g1,high_appeal,red,4itw1slzj_a03k1zfqH,NA,NA,NA,NA,The field yields a higher output when it is fed using the primary colours that create the colour of the field.,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",2001,Male,2,865,98,767,9,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",2,9,NA,100-101-110-001-011-010-011-101-011,100-101-110-001-011-010-011-101-011
lzj3mv8k,1,1,a03k1zfq,ha1g1,high_appeal,red,4itw1slzj_a03k1zfqH,NA,NA,NA,NA,The field yields a higher output when it is fed using the primary colours that create the colour of the field.,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",2001,Male,3,848,98,750,9,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",3,9,NA,100-101-110-001-011-010-011-101-011,100-101-110-001-011-010-011-101-011
lzj3mv8k,1,1,a03k1zfq,ha1g1,high_appeal,red,4itw1slzj_a03k1zfqH,NA,NA,NA,NA,The field yields a higher output when it is fed using the primary colours that create the colour of the field.,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",2001,Male,4,959,98,861,9,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",4,9,NA,100-101-110-001-011-010-011-101-011,100-101-110-001-011-010-011-101-011
lzj3mv8k,1,1,a03k1zfq,ha1g1,high_appeal,red,4itw1slzj_a03k1zfqH,NA,NA,NA,NA,The field yields a higher output when it is fed using the primary colours that create the colour of the field.,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",2001,Male,5,959,98,861,9,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",5,9,NA,100-101-110-001-011-010-011-101-011,100-101-110-001-011-010-011-101-011
lzj3mv8k,1,1,a03k1zfq,ha1g1,high_appeal,red,4itw1slzj_a03k1zfqH,NA,NA,NA,NA,The field yields a higher output when it is fed using the primary colours that create the colour of the field.,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",2001,Male,6,861,98,763,9,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",6,9,NA,100-101-110-001-011-010-011-101-011,100-101-110-001-011-010-011-101-011
9e6kliht,1,1,a03k1zfq,ha1g1,high_appeal,blue,62f9e6ace_a03k1zfqH,NA,NA,NA,NA,The field yields a higher output when colour nutriaints mixed match that of colour of the center. mixing a total of a 1:1 ratio over multiple rounds seems to yeld better results.,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":2,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",1991,Male,1,706,108,598,9,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":2},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",1,9,NA,100-101-110-002-011-010-011-101-011,100-101-110-001-011-020-011-101-011
9e6kliht,1,1,a03k1zfq,ha1g1,high_appeal,blue,62f9e6ace_a03k1zfqH,NA,NA,NA,NA,The field yields a higher output when colour nutriaints mixed match that of colour of the center. mixing a total of a 1:1 ratio over multiple rounds seems to yeld better results.,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":2,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",1991,Male,2,882,100,782,9,"[[{""blue"":2,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",2,9,NA,200-101-110-001-011-010-011-101-011,100-101-110-001-011-020-011-101-011
9e6kliht,1,1,a03k1zfq,ha1g1,high_appeal,blue,62f9e6ace_a03k1zfqH,NA,NA,NA,NA,The field yields a higher output when colour nutriaints mixed match that of colour of the center. mixing a total of a 1:1 ratio over multiple rounds seems to yeld better results.,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":2,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",1991,Male,3,829,108,721,9,"[[{""blue"":2,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":2},{""blue"":0,""yellow"":2,""red"":2},{""blue"":0,""yellow"":2,""red"":0}],[{""blue"":0,""yellow"":1,""red"":0},{""blue"":0,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":0}]]",3,9,NA,200-101-010-002-022-020-010-001-010,100-101-110-001-011-020-011-101-011
9e6kliht,1,1,a03k1zfq,ha1g1,high_appeal,blue,62f9e6ace_a03k1zfqH,NA,NA,NA,NA,The field yields a higher output when colour nutriaints mixed match that of colour of the center. mixing a total of a 1:1 ratio over multiple rounds seems to yeld better results.,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":2,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",1991,Male,4,946,100,846,9,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":0},{""blue"":2,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":2},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",4,9,NA,100-100-210-001-011-010-012-101-011,100-101-110-001-011-020-011-101-011
9e6kliht,1,1,a03k1zfq,ha1g1,high_appeal,blue,62f9e6ace_a03k1zfqH,NA,NA,NA,NA,The field yields a higher output when colour nutriaints mixed match that of colour of the center. mixing a total of a 1:1 ratio over multiple rounds seems to yeld better results.,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":2,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",1991,Male,5,797,108,689,8,"[[{""blue"":2,""yellow"":0,""red"":0},{""blue"":0,""yellow"":0,""red"":1},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":2},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":0,""red"":0}],[{""blue"":0,""yellow"":2,""red"":1},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",5,8,NA,200-001-110-002-011-000-021-101-011,100-101-110-001-011-020-011-101-011
